name,url_link,address,city,state,country,phone,email,image,url,keyword
Maryland State Police: Criminal Enforcement Division: Computer Crimes Unit,Maryland State Police: Criminal Enforcement Division: Computer Crimes Unit,1201 Reisterstown Road Pikesville Maryland,Pikesville,Maryland,,410-653-4200,,,http://mdsp.maryland.gov/Organization/Pages/CriminalInvestigationBureau/CriminalEnforcementDivision.aspx,cybercrime
Montgomery Police Department: Criminal Investigations Unit,Montgomery Police Department: Criminal Investigations Unit,100 Edison Park Drive Gaithersburg Maryland,Gaithersburg,Maryland,,301-279-8000,,,https://www.montgomerycountymd.gov/pol/bureaus/investigative-services.html,cybercrime
Prince George’s County Police Department: Bureau of Homeland Security and Intelligence,Prince George’s County Police Department: Bureau of Homeland Security and Intelligence,1301 McCormick Drive Largo Maryland,Largo,Maryland,,301-352-1200,,,https://www.princegeorgescountymd.gov/4491/Bureau-of-Homeland-Security-Intelligence,cybercrime
St. Mary’s County Sheriff’s Office: Criminal Investigations Division,St. Mary’s County Sheriff’s Office: Criminal Investigations Division,23150 Leonard Hall Drive Leonardtown Maryland,Leonardtown,Maryland,,301-475-8008,,,https://www.firstsheriff.com/divisions/criminal-investigations/default,cybercrime
Belmont Police Department: Computer Crime Unit,Belmont Police Department: Computer Crime Unit,Concord ave Belmont Massachusetts,Belmont,Massachusetts,,617-484-1212,,,https://www.belmontpd.org/computer-crime-unit,cybercrime
Brookline Police Department: Specific Unit,Brookline Police Department: Specific Unit,350 Washington Street Brookline Massachusetts,Brookline,Massachusetts,,617-730-2222,,,https://www.brooklinepolice.com/134/Detective-Division,cybercrime
Burlington Police Department,Burlington Police Department,29 Center Street Burlington Massachusetts,Burlington,Massachusetts,,781-270-1600,,,https://www.burlington.org/342/General-Police-Topics,cybercrime
Dedham Police Department: Metro LEC,Dedham Police Department: Metro LEC,450 Washington Street Dedham Massachusets,Dedham,Massachusets,,781-751-9100,,,https://www.dedham-ma.gov/departments/police/department-divisions/metro-lec,cybercrime
Dover Police Department: Cyber-Crime Investigations,Dover Police Department: Cyber-Crime Investigations,3 Walpole Street P.O. box 192 Dover Massachusets,Dover,Massachusets,,508-785-1130,,,http://dovermapd.com/metrolec/,cybercrime
Medford Police Department: Cyber Crime and Data Forensics Unit,Medford Police Department: Cyber Crime and Data Forensics Unit,100 Main Street Medford Massachusets,Medford,Massachusets,,781-395-1212,,,https://medfordpolice.com/cyber-crime-and-digital-forensics-unit/,cybercrime
Peabody Police Department: Cyber Crime Unit,Peabody Police Department: Cyber Crime Unit,6 Allens Ln Peabody Massachusets,Peabody,Massachusets,,978-531-1212,,,http://peabodypd.org/computercrimeunit/,cybercrime
Somerville Police Department: General Investigations Unit,Somerville Police Department: General Investigations Unit,220 Washington St. Somerville Massachusets,Somerville,Massachusets,,617-625-1600,,,https://www.somervillepd.com/divisions/detective-bureau,cybercrime
TechSmart (Private Investigation),TechSmart (Private Investigation),P.O box 992 Forestdale Massachusets,Forestdale,Massachusets,,617-297-8155,,,https://www.techsmartsolutionsllc.com/services,cybercrime
Winchester Police Department: Computer Crimes Unit (CCU),Winchester Police Department: Computer Crimes Unit (CCU),30 Mount Vernon St. WInchester Massachusets,WInchester,Massachusets,.,781-729-1214,,,http://www.winchesterpd.org/about/computer-crime,cybercrime
Eaton County Police Department: Economic Crimes Unit,Eaton County Police Department: Economic Crimes Unit,5330 W Saginaw Highway Lansing Michigan,Lansing,Michigan,,517-543-4647,,,https://www.eatoncounty.org/164/Economic-Crimes-Unit,cybercrime
Holland Public Safety: Criminal Investigations Division: Computer Forensics,Holland Public Safety: Criminal Investigations Division: Computer Forensics,270 S River Avenue Holland Michigan,Holland,Michigan,,616-355-1300,,,https://www.cityofholland.com/701/Computer-Forensics,cybercrime
Kalamazoo County Sheriff’s Office: Operations Division: Criminal Investigations Section,Kalamazoo County Sheriff’s Office: Operations Division: Criminal Investigations Section,1500 Lamont Kalamazoo Michigan,Kalamazoo,Michigan,,269-488-8911,,,https://www.kalcounty.com/sheriff/operations.htm,cybercrime
Livingston Police Department: Investigation Services Unit,Livingston Police Department: Investigation Services Unit,150 S Highlander Way Howell Michigan,Howell,Michigan,,517-546-2440,,,https://www.livgov.com/sheriff/Pages/Investigative-Services.aspx,cybercrime
Macomb County Sheriff’s Office: MACE Reserve Unit,Macomb County Sheriff’s Office: MACE Reserve Unit,43565 Elizabeth Road Mount Clemens Michigan,Mount Clemens,Michigan,,586-469-5151,,,https://sheriff.macombgov.org/Sheriff-MACEReserveUnit,cybercrime
Michigan State Police: Cyber Section,Michigan State Police: Cyber Section,7150 Harris Drive Dimondale Michigan,Dimondale,Michigan,,1-877-642-9237,,,http://michigan.gov/msp/0%2C4643%2C7-123-72297_72370_72379---%2C00.html,cybercrime
Michigan State University Police Department and Public Safety: Digital Forensics and Cyber Crimes Unit (DFCCU),Michigan State University Police Department and Public Safety: Digital Forensics and Cyber Crimes Unit (DFCCU),1120 Red Cedar Rd East Lansing Michigan,East Lansing,Michigan,,517-355-2221,,,https://police.msu.edu/police-services/investigations/,cybercrime
Southold Police Department: Internet/Computer Crimes Unit,Southold Police Department: Internet/Computer Crimes Unit,26000 Evergreen Rd Southfield Michigan,Southfield,Michigan,,248-796-5000,,,https://www.cityofsouthfield.com/departments/police-department/investigations-division,cybercrime
Van Buren County Sheriff’s Office: Investigation Division: Computer Crimes Unit,Van Buren County Sheriff’s Office: Investigation Division: Computer Crimes Unit,205 S Kalamazoo Street Paw Paw Michigan,Paw Paw,Michigan,,269-657-2006,,,https://www.vanburencountymi.gov/264/Investigative-Division,cybercrime
Wyoming City Police Department: Investigations Unit,Wyoming City Police Department: Investigations Unit,1155 28th St SW Wyoming Michigan,Wyoming,Michigan,,616-530-7226,,,https://www.wyomingmi.gov/About-Wyoming/City-Departments/Public-Safety-Police/Investigative-Division,cybercrime
Blue Earth County Sheriff’s Office: General Investigations,Blue Earth County Sheriff’s Office: General Investigations,204 S. 5th Street Mankota Minnesota,Mankota,Minnesota,,507-304-4150,,,https://www.blueearthcountymn.gov/1300/General-Investigations,cybercrime
Chisago County Sheriff’s Office: Investigations Division: Property Crimes,Chisago County Sheriff’s Office: Investigations Division: Property Crimes,15230 Per Road Center City Minnesota,Center City,Minnesota,,651-213-6322,,,https://www.chisagocountymn.gov/265/Investigations-Division,cybercrime
Cloquet Police Department: Investigations Division,Cloquet Police Department: Investigations Division,101-14th Street Cloquet Minnesota,Cloquet,Minnesota,,218-879-3347,,,https://www.cloquetmn.gov/departments/police/investigations-division,cybercrime
Crow Wing County Sheriff’s Office: General Investigations,Crow Wing County Sheriff’s Office: General Investigations,326 Laurel St Brainerd Minnesota,Brainerd,Minnesota,,218-824-1067,,,https://crowwing.us/358/General-Investigations,cybercrime
Dakota County Sheriff’s Office: Specialty Units: Electronic Crimes Task Force,Dakota County Sheriff’s Office: Specialty Units: Electronic Crimes Task Force,1590 Highway 55 Hastings Minnesota,Hastings,Minnesota,,651-437-3191,,,https://www.co.dakota.mn.us/Government/Sheriff/SpecialtyUnits/Pages/default.aspx,cybercrime
Eden Prairie Police Department: Investigations Unit: Criminal Investigations,Eden Prairie Police Department: Investigations Unit: Criminal Investigations,8080 Mitchell Road Eden Prairie Minnesota,Eden Prairie,Minnesota,,952-949-8300,,,https://www.edenprairie.org/city-government/departments/police-department/about-the-police-department/investigations-division,cybercrime
Minneapolis Police Department: Forensics Division: Computer Forensics,Minneapolis Police Department: Forensics Division: Computer Forensics,505 4th Avenue S. Minneapolis Minnesota,Minneapolis,Minnesota,,612-673-3000,,,https://www.minneapolismn.gov/government/departments/police/investigations/forensics/,cybercrime
Minnesota Financial Crimes Task Force,Minnesota Financial Crimes Task Force,445 Minnesota St. Saint Paul Minnesota,Saint Paul,Minnesota,,651-201-7000,,,https://dps.mn.gov/divisions/bca/bca-divisions/investigations/Pages/mn-financial-crimes-task-force.aspx,cybercrime
Moorhead Police Department: Investigations Division,Moorhead Police Department: Investigations Division,500 Center Ave Moorhead Minnesota,Moorhead,Minnesota,,218-299-5120,,,https://www.cityofmoorhead.com/departments/police/investigations,cybercrime
Office of Attorney General Keith Ellison: Identity Theft and Computers,Office of Attorney General Keith Ellison: Identity Theft and Computers,1501 Freeway Boulevard Brooklyn Center Minnesota,Brooklyn Center,Minnesota,,763-569-8000,,,https://www.ag.state.mn.us/consumer/IdentityTheft/Default.asp,cybercrime
Olmsted County Sheriff’s Office Investigation Division,Olmsted County Sheriff’s Office Investigation Division,151 4th Street SE Rochester Minnesota,Rochester,Minnesota,,507-328-6000,,,https://www.olmstedcounty.gov/government/county-departments/sheriffs-office/law-enforcement-center-lec/divisions#government-centersecurityandtransport6,cybercrime
Sherburne County Sheriff’s Office: Computer Forensics & Crime Analysis,Sherburne County Sheriff’s Office: Computer Forensics & Crime Analysis,13880 Business Center Dr NW Elk River Minnesota,Elk River,Minnesota,,763-765-3500,,,https://www.co.sherburne.mn.us/359/Computer-Forensics-Crime-Analysis,cybercrime
Washington County Sheriff’s Office: Investigations Division: Computer Forensic Services,Washington County Sheriff’s Office: Investigations Division: Computer Forensic Services,927 Connie St Mils Wyomming,Mils,Wyomming,,651-430-7800,,,https://cyberforensics.com/?gclid=CjwKCAiAzKqdBhAnEiwAePEjkqxeMXS7LnPfcLZE2Fihn2IMKsRk9RKU59UqVLd86Oa5wvvY2lWMmxoCPk8QAvD_BwE,cybercrime
Wright County Sheriff’s Office: Criminal Investigations Division: Computer Forensics,Wright County Sheriff’s Office: Criminal Investigations Division: Computer Forensics,3650 Braddock Avenue NE Buffalo Minnesota,Buffalo,Minnesota,,763-682-3900,,,https://www.co.wright.mn.us/293/Criminal-Investigations,cybercrime
Biloxi Police Department: Criminal Investigations Division: Computer Forensics,Biloxi Police Department: Criminal Investigations Division: Computer Forensics,170 Porter Ave. Biloxi Mississippi,Biloxi,Mississippi,,228-435-6100,,,https://biloxi.ms.us/criminal-investigations-division/,cybercrime
"Cyber Crime Unit, Mississippi Attorney General","Cyber Crime Unit, Mississippi Attorney General",550 High Street Jackson Mississippi,Jackson,Mississippi,,601-359-3680,,,http://ago.state.ms.us/divisions/cyber-crime/,cybercrime
"Identity Theft, Office of the Attorney General of Mississippi","Identity Theft, Office of the Attorney General of Mississippi",550 High Street Jackson Mississippi,Jackson,Mississippi,,601-359-3680,,,http://ago.state.ms.us/victims/identity-theft/,cybercrime
Jacksons County Sheriff’s Office: Computer Forensic Division,Jacksons County Sheriff’s Office: Computer Forensic Division,3104 Magnolia Street Pascagoula Mississippi,Pascagoula,Mississippi,,228-769-3063,,,https://www.co.jackson.ms.us/286/Computer-Forensics,cybercrime
Mississippi Attorney General’s Office: Cyber Crime Division,Mississippi Attorney General’s Office: Cyber Crime Division,550 High Street Jackson Mississippi,Jackson,Mississippi,,601-359-3680,,,https://www.ago.state.ms.us/divisions/cyber-crimes/,cybercrime
Richland Police Department: Criminal Investigations Division,Richland Police Department: Criminal Investigations Division,501 Cooper Ave Meridian Mississippi,Meridian,Mississippi,,601-420-1570,,,http://www.richlandms.org/city-government/police/criminal-investigative-division/,cybercrime
Boone County Sheriff’s Office: Cyber Crimes Task Force,Boone County Sheriff’s Office: Cyber Crimes Task Force,2121 County drive Columbia Missouri,Columbia,Missouri,,573-442-4302,,,https://www.bcsocybercrimes.com/about,cybercrime
Cassville Police Department: Investigations Unit,Cassville Police Department: Investigations Unit,302 Main Street Cassville Missouri,Cassville,Missouri,,417-847-4700,,,https://www.cityofcassville.com/departments/police_department/,cybercrime
"Digital Forensics Investigative Unit, Missouri State Highway Patrol","Digital Forensics Investigative Unit, Missouri State Highway Patrol",1510 East Elm Street Jefferson City Missouri,Jefferson City,Missouri,,573-751-3313,,,http://mshp.dps.missouri.gov/MSHPWeb/PatrolDivisions/DDCC/Units/ComputerForensicUnit/index.html,cybercrime
Hazelwood Police Department: Criminal Investigations Team: Major Case Squad: Regional Computer Crime Education and Enforcement Group,Hazelwood Police Department: Criminal Investigations Team: Major Case Squad: Regional Computer Crime Education and Enforcement Group,415 Elm Grove Lane Hazlewood Missouri,Hazlewood,Missouri,,314-838-5169,,,http://www.hazelwoodmo.org/226/Criminal-Investigation-Team,cybercrime
"Identity Theft, Missouri Department of Revenue","Identity Theft, Missouri Department of Revenue",301 West High Street Jefferson City Missouri,Jefferson City,Missouri,,573-526-2407,,,http://dor.mo.gov/personal/individual/identity_theft.php,cybercrime
Jackson County Sheriff’s Office: Investigation Division,Jackson County Sheriff’s Office: Investigation Division,4001 NE Lakewood Court Lees Summit Missouri,Lees Summit,Missouri,,816-541-8017,,,https://www.jacksoncountysheriff.org/Divisions/Investigations-Division,cybercrime
Joplin Police Department: Southwest Missouri Cyber Crime Task Force,Joplin Police Department: Southwest Missouri Cyber Crime Task Force,303 E 3rd St Joplin Missouri,Joplin,Missouri,,417-623-3131,,,https://joplinmo.org/657/Cyber-Crimes-Task-Force,cybercrime
Kansas City Police Department: Cyber Crimes Task Force,Kansas City Police Department: Cyber Crimes Task Force,1125 Locust St. Kansas City Missouri,Kansas City,Missouri,,816-234-5000,,,https://www.kcpd.org/crime/crime/cyber-crimes/,cybercrime
Kirksville Police Department: Kirksville Regional Computer Crimes Unit,Kirksville Police Department: Kirksville Regional Computer Crimes Unit,201 South Franklin Kirksville Missouri,Kirksville,Missouri,,660-785-6945,,,https://www.kirksvillecity.com/content/9693/9727/20090/9751/10256.aspx,cybercrime
Lebanon Police Department: Lake Area Cyber Crimes Task Force (LACCTF),Lebanon Police Department: Lake Area Cyber Crimes Task Force (LACCTF),401 South Jefferson Labannon Missouri,Labannon,Missouri,,417-532-2156,,,https://www.lebanonmissouri.org/683/LACCTF-Lake-Area-Cyber-Crimes-Task-Force,cybercrime
Missouri State Highway Patrol: Digital Forensics Investigation Unit,Missouri State Highway Patrol: Digital Forensics Investigation Unit,1510 East Elm Street Jefferson City Missouri,Jefferson City,Missouri,,573-751-3313,,,https://www.mshp.dps.missouri.gov/MSHPWeb/PatrolDivisions/DDCC/Units/ComputerForensicUnit/index.html,cybercrime
Phelps County Sheriff’s Department: The Southern-Central Missouri Computer Crimes Task Force (SCMCCTF),Phelps County Sheriff’s Department: The Southern-Central Missouri Computer Crimes Task Force (SCMCCTF),500 W 2nd St Rolla Missouri,Rolla,Missouri,,573-426-3860,,,https://phelpscountysheriff.com/services/cyber-crimes/,cybercrime
Platte County Sheriff’s Office: Western Missouri Cyber Crimes Task Force (WMCCTF),Platte County Sheriff’s Office: Western Missouri Cyber Crimes Task Force (WMCCTF),415 3rd St Suite 10 Platte Missouri,Platte,Missouri,,816-858-2424,,,https://www.plattesheriff.org/divisions/investgations/western_missouri_cyber_crimes_task_force_(wmcctf).php,cybercrime
Poplar Bluff Police Department Cyber Crimes Task Force,Poplar Bluff Police Department Cyber Crimes Task Force,1111 Poplar St Poplar Missouri,Poplar,Missouri,,573-785-5776,,,https://www.pbpolice.org/criminal-investigations-bureau/cyber-crimes-task-force,cybercrime
St. Charles County Police Department: Cyber Crime Division,St. Charles County Police Department: Cyber Crime Division,101 Sheriff Dierker Court O'Fallon Missouri,O'Fallon,Missouri,,636-949-1848,,,https://www.sccmo.org/433/Cyber-Crime-Division,cybercrime
St. Joseph Police Department: Electronic Crimes Unit (ECU),St. Joseph Police Department: Electronic Crimes Unit (ECU),411 Jules Street St. Joseph Missouri,St. Joseph,Missouri,,1-800-843-5678,,,https://www.stjosephmo.gov/607/Detectives,cybercrime
St. Louis Police Department: Regional Computer Crimes Education and Enforcement Group,St. Louis Police Department: Regional Computer Crimes Education and Enforcement Group,10 S. Brentwood Blvd. Clayton Missouri,Clayton,Missouri,,314-889-4280,,,http://www.rcceeg.org/,cybercrime
Stone County Sheriff’s Office: Tri-Lakes Regional Internet Crimes Task Force,Stone County Sheriff’s Office: Tri-Lakes Regional Internet Crimes Task Force,110 South Maple Street Galena Missouri,Galena,Missouri,,417-357-6116,,,https://www.stonecountymosheriff.com/page.php?id=2,cybercrime
Billings Police Department: Internet Crimes Against Children Task Force (ICAC),Billings Police Department: Internet Crimes Against Children Task Force (ICAC),220 North 27th Street Billings Montana,Billings,Montana,,406-657-8460,,,https://ci.billings.mt.us/1692/Montana-Internet-Crimes-Against-Children,cybercrime
Bozeman Police Department: Detective Division: Computer Crime Unit,Bozeman Police Department: Detective Division: Computer Crime Unit,121 N Rouse Ave. Bozeman Montana,Bozeman,Montana,,406-582-2300,,,https://www.bozeman.net/departments/police/divisions/detectives,cybercrime
"Computer Crime, Montana Department of Justice","Computer Crime, Montana Department of Justice",44 Canal Center Plaza Suite 200 Alexandria Virginia,Alexandria,Virginia,,406-444-9759,,,https://dojmt.gov/enforcement/investigations-bureau/computer-crime/,cybercrime
"Investigations Bureau, Montana Department of Justice","Investigations Bureau, Montana Department of Justice",2225 11th Avenue Helena Montana,Helena,Montana,,406-444-3874,,,https://dojmt.gov/enforcement/investigations-bureau/,cybercrime
"Identity Theft & Security Freeze, Office of Consumer Protection, Montana Department of Justice","Identity Theft & Security Freeze, Office of Consumer Protection, Montana Department of Justice",2225 11th Avenue Helena Montana,Helena,Montana,,800-481-6896,,,https://dojmt.gov/consumer/identity-theft/,cybercrime
Malta Police Force: Cyber Crimes Unit,Malta Police Force: Cyber Crimes Unit,St. Calcedonius square Floriana Montana,Floriana,Montana,,356-2294-2231,,,https://pulizija.gov.mt/en/police-force/police-sections/Pages/Cyber-Crime-Unit.aspx,cybercrime
Beatrice Police Department: Criminal Investigations Unit,Beatrice Police Department: Criminal Investigations Unit,201 N 5th Street Beatrice Nebraska,Beatrice,Nebraska,,402-223-4080,,,https://www.beatrice.ne.gov/police/page/criminal-investigations-unit-0,cybercrime
Nebraska Attorney General: Identity Theft,Nebraska Attorney General: Identity Theft,2115 State Capitol Lincoln Nebraska,Lincoln,Nebraska,,402-471-2682,,,https://protectthegoodlife.nebraska.gov/identity-theft,cybercrime
"Nebraska State Patrol, Investigative Services","Nebraska State Patrol, Investigative Services",4600 Innovation Drive Lincoln Nebraska,Lincoln,Nebraska,,402-471-4545,,,https://statepatrol.nebraska.gov/divisions/investigative-services,cybercrime
Nebraska State Patrol: Technical Crimes Division,Nebraska State Patrol: Technical Crimes Division,4600 Innovation Drive Lincoln Nebraska,Lincoln,Nebraska,,402-471-4545,,,https://statepatrol.nebraska.gov/divisions/investigative-services/technical-crimes-division/technical-crimes-division-cyber,cybercrime
"Fraud Protection, Nevada Consumer Affairs","Fraud Protection, Nevada Consumer Affairs",330 W. Sahara Ave. S Las Vegas Nevada,Las Vegas,Nevada,,702-486-2750,,,http://consumeraffairs.nv.gov/,cybercrime
Henderson Police Department: Investigation Services Division,Henderson Police Department: Investigation Services Division,240 S. Water St. Henderson Nevada,Henderson,Nevada,,702-267-2323,,,https://www.cityofhenderson.com/government/departments/police/community-programs/crime-stoppers,cybercrime
Las Vegas Metropolitan Police Department,Las Vegas Metropolitan Police Department,400 S. Martin L. King Blvd. Las Vegas Nevada,Las Vegas,Nevada,,702-828-3111,,,https://www.lvmpd.com/en-us/cybercrime/Pages/default.aspx,cybercrime
"Nevada Identity Theft Program, Attorney General","Nevada Identity Theft Program, Attorney General",100 North Carson Street Carson City Nevada,Carson City,Nevada,,775-684-1100,,,http://ag.nv.gov/Hot_Topics/Victims/ID_Theft_Program/,cybercrime
Private Digital Investigations for Individuals and Businesses,Private Digital Investigations for Individuals and Businesses,10120 W Flamingo Rd Las Vegas Nevada,Las Vegas,Nevada,,702-381-6362,,,https://digitalinvestigation.com/locations/nv/las-vegas,cybercrime
Reno Police Department: Financial/Computer Crimes Unit,Reno Police Department: Financial/Computer Crimes Unit,455 E. Second St. Reno Nevada,Reno,Nevada,,775-334-2107,,,https://www.renopd.com/detectives,cybercrime
Washoe County Sheriff’s Office: Internet Crimes Against Children Task Force (ICAC),Washoe County Sheriff’s Office: Internet Crimes Against Children Task Force (ICAC),911 Parr Blvd Reno Nevada,Reno,Nevada,,775-328-3001,,,https://www.washoesheriff.com/operations_bureau/detectives/internet-crimes-against-children-task-force---icac.php,cybercrime
Conway Police Department: Investigative Services Division,Conway Police Department: Investigative Services Division,35 E Conway Rd. Center Conway New Hampshire,Center Conway,New Hampshire,,603-356-5715,,,https://www.conwaypdnh.gov/divisions/investigative-services/cyber-crime,cybercrime
Lebanon Police Department: Cyber Crimes Units,Lebanon Police Department: Cyber Crimes Units,36 Poverty Lane Lebanon New Hampshire,Lebanon,New Hampshire,,603-448-1212,,,https://flyleb.com/1008/Cyber-Crimes-Unit,cybercrime
"Major Crime Unit, Investigative Services Bureau, New Hampshire Department of Safety","Major Crime Unit, Investigative Services Bureau, New Hampshire Department of Safety",33 Hazen Drive Concord New Hampshire,Concord,New Hampshire,,603-223-8813,,,https://nh.gov/safety/divisions/nhsp/isb/majorcrime/index.html,cybercrime
Manchester Police Department: Cybercrimes Unit,Manchester Police Department: Cybercrimes Unit,One City Hall Plaza Manchester New Hampshire,Manchester,New Hampshire,,603-668-8711,,,https://www.manchesternh.gov/Departments/Police/Cybercrime-Unit,cybercrime
Nashua Police Department (NH): Computer Forensic Unit,Nashua Police Department (NH): Computer Forensic Unit,28 Officer James Roche Dr. Nashua New Hampshire,Nashua,New Hampshire,,603-594-3500,,,http://www.nashuapd.com/?A=Bureaus&S=Detective&D=CID,cybercrime
New Hampshire Criminal Justice Bureau,New Hampshire Criminal Justice Bureau,33 Captiol Street Concord New Hampshire,Concord,New Hampshire,,603-271-3658,,,https://doj.nh.gov/criminal/,cybercrime
New Hampshire State Police: Special Investigations,New Hampshire State Police: Special Investigations,33 Hazen Drive Concord New Hampshire,Concord,New Hampshire,,603-223-6185,,,https://www.nhsp.dos.nh.gov/our-services/investigative-services-bureau/special-investigations,cybercrime
Rochester Police Department: Investigative Service Bureau,Rochester Police Department: Investigative Service Bureau,185 Exchange Blvd. Rochester New Hampshire,Rochester,New Hampshire,,585-428-6720,,,https://www.rochesterpd.org/investigations.html,cybercrime
Cherry Hill Police Department: Investigative Unit,Cherry Hill Police Department: Investigative Unit,820 Mercer Street Cherry Hill New Jersey,Cherry Hill,New Jersey,,856-665-6500,,,https://www.chnj.gov/141/Investigative,cybercrime
"Cyber Crimes Unit, New Jersey State Police","Cyber Crimes Unit, New Jersey State Police",14 Brewster Rd Newark New Jersey,Newark,New Jersey,,609-584-5051,,,http://njsp.org/division/investigations/cyber-crimes.shtml,cybercrime
"Cyber Fraud Unit, New Jersey Division of Consumer Affairs","Cyber Fraud Unit, New Jersey Division of Consumer Affairs",124 Halsey Street Newark New Jersey,Newark,New Jersey,,973-504-6200,,,http://njconsumeraffairs.gov/ocp/Pages/cyberfraud.aspx,cybercrime
"Digital Technology Investigations Unit, New Jersey State Police","Digital Technology Investigations Unit, New Jersey State Police","PO Box 7068, West Trenton, NJ 08628",West Trenton,New Jersey,,609-584-5051,,,http://njsp.org/division/investigations/digital-tech-investigations.shtml,cybercrime
Gloucester County Prosecutors Office: High Tech Crimes Unit,Gloucester County Prosecutors Office: High Tech Crimes Unit,2 south Broad Street Woodbury New Jersey,Woodbury,New Jersey,,856-853-3200,,,https://www.gloucestercountynj.gov/717/High-Tech-Crimes-Unit,cybercrime
"High Tech Crime Bureau, New Jersey State Police","High Tech Crime Bureau, New Jersey State Police",14 Brewster Rd Newark New Jersey,Newark,New Jersey,,609-882-2000,,,http://njsp.org/division/investigations/high-tech-crime.shtml,cybercrime
New Brunswick Police Department: Major Crimes Unit,New Brunswick Police Department: Major Crimes Unit,78 Bayard Street New Brunswick New Jersey,New Brunswick,New Jersey,,732-745-5226,,,https://www.cityofnewbrunswick.org/residents/public_safety/police/nbpd_divisions/major_crimes_unit.php,cybercrime
New Jersey Consumer Affairs: Office of Consumer Protection: Cyber Fraud Unit,New Jersey Consumer Affairs: Office of Consumer Protection: Cyber Fraud Unit,124 Halsey Street Newark New Jersey,Newark,New Jersey,,973-504-6200,,,https://www.njconsumeraffairs.gov/ocp/Pages/cyberfraud.aspx,cybercrime
New Jersey State Police: Special Investigations Section,New Jersey State Police: Special Investigations Section,124 Halsey Street Newark New Jersey,Newark,New Jersey,,973-504-6200,,,https://nj.gov/njsp/division/investigations/special-investigations.shtml,cybercrime
Office of the Monmouth County Prosecutor: Computer Crimes,Office of the Monmouth County Prosecutor: Computer Crimes,132 Jerseyville Avenue Freehold New Jersey,Freehold,New Jersey,,732-431-7160,,,http://mcponj.org/computer-crimes/,cybercrime
Palisades Park Police Department: Cyber Crimes Unit,Palisades Park Police Department: Cyber Crimes Unit,275 Broad Avenue Palisades Park New Jersey,Palisades Park,New Jersey,,201-944-0900,,,https://pppdnj.org/cyber-crimes-unit/,cybercrime
Pemberton Township Police Department: Investigative Division,Pemberton Township Police Department: Investigative Division,500 Pemberton-Browns Mills Rd Pemberton New Jersey,Pemberton,New Jersey,,609-894-8201,,,https://www.pemberton-twp.com/departments/police/divisions/investigations/index.php,cybercrime
Somerset County Police Department: Special Investigations Unit,Somerset County Police Department: Special Investigations Unit,20 Grove Street Somerville New Jersey,Somerville,New Jersey,,908-231-7000,,,https://www.co.somerset.nj.us/government/affiliated-agencies/prosecutor-s-office/divisions/special-investigations-unit,cybercrime
Sussex County Police Department: Internet Crime & Technology Unit,Sussex County Police Department: Internet Crime & Technology Unit,19-21 High Street Newton New Jersey,Newton,New Jersey,,973-383-1570,,,https://www.sussex.nj.us/cn/webpage.cfm?tpid=975,cybercrime
New Mexico’s Secretary of State Office,New Mexico’s Secretary of State Office,325 Don Gaspar Suite 300 Santa Fe New Mexico,Santa Fe,New Mexico,,1-800-477-3632,,,https://www.sos.state.nm.us/cybersecurity/report-an-incident/,cybercrime
New Mexico State Police: Technical Unit,New Mexico State Police: Technical Unit,4491 Cerrillos Rd. Sante Fe New Mexico,Sante Fe,New Mexico,,505-841-9256,,,https://www.sp.nm.gov/investigations-bureau/,cybercrime
Brooklyn District Attorneys Office: Cybercrimes Unit,Brooklyn District Attorneys Office: Cybercrimes Unit,350 Jay Street Brooklyn New York,Brooklyn,New York,,718-250-2340,,,http://www.brooklynda.org/frauds/#cyber,cybercrime
Buffalo Cyber Task Force,Buffalo Cyber Task Force,One FBI Plaza Buffalo New York,Buffalo,New York,,716-856-7800,,,https://www.infragardbuffalo.org/about-infragard/buffalo-cyber-taskforce,cybercrime
Colonie Police Department: Computer Crimes Unit,Colonie Police Department: Computer Crimes Unit,312 Wolf Road Latham New York,Latham,New York,,518-783-2744,,,https://www.colonie.org/departments/police/divisions/fieldservices,cybercrime
"Bureau of Internet and Technology, New York State Attorney General’s Office","Bureau of Internet and Technology, New York State Attorney General’s Office",The Capitol Albany New York,Albany,New York,,1-800-771-7755,,,https://ag.ny.gov/bureau/internet-bureau,cybercrime
Erie County Sheriff’s Office: Computer Crimes Unit,Erie County Sheriff’s Office: Computer Crimes Unit,10 Delaware Ave Buffalo New York,Buffalo,New York,,716-858-7618,,,https://www4.erie.gov/sheriff/computer-crimes-unit,cybercrime
New York City Police Department: Computer Crimes Squad,New York City Police Department: Computer Crimes Squad,One Hogan Place New York New York,New York,New York,,2121-335-9600,,,http://manhattanda.org/resources-victims-identity-theftcybercrime,cybercrime
"New York State Attorney General’s Office, Bureau of Internet and Technology","New York State Attorney General’s Office, Bureau of Internet and Technology",The captiol Albany New York,Albany,New York,,1-800-771-7755,,,https://ag.ny.gov/bureau/internet-bureau,cybercrime
New York State Police: Computer Crime Unit,New York State Police: Computer Crime Unit,200 Air Park Drive Rochester New York,Rochester,New York,,866-723-3697,,,https://troopers.ny.gov/computer-crimes,cybercrime
Queens District Attorneys Office: Cyber Crime Unit,Queens District Attorneys Office: Cyber Crime Unit,125-01 Queens Blvd. Kew Gardens New York,Kew Gardens,New York,,718-286-6673,,,https://queensda.org/investigations/#cyber-crime-unit,cybercrime
